guid ausgelesen,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni
6A0A835D-7A82-4C92-969A-0ECDE00532EA,VU,Verletzlich,"B2ab (i,ii,iii,iv); D2",Nur in der Region Grindelwald BE,Uniquement dans la région de Grindelwald BE,Unicamente nella regione di Grindelwald (BE)
EB486721-0D8C-4999-97E4-9F4A995D2567,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
87CB39D8-BF2D-4F7D-872D-6DDF72F53CD8,LC,Nicht gefährdet,,,,
8049039D-2A0A-4321-846C-E7512083B899,LC,Nicht gefährdet,,,,
F9C4CAE0-7896-430B-AB4D-215FEF98B65B,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
5D6E18DF-5D2E-482B-87BA-77163890CE6B,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)c (iii,iv)",,,
2EA36B77-0D4B-4AF9-A8E9-14C8ACB9BB99,LC,Nicht gefährdet,,,,
34188D9E-81B6-4BF4-B157-E3498AC63EB6,NT,Potenziell gefährdet,,,,
201F77C6-44BB-43FD-9007-CB1EE5C2EC82,NT,Potenziell gefährdet,,,,
45087035-632C-4329-807F-0525C079D5D2,VU,Verletzlich,"B2ab (i,ii,iii,iv)c (iii)",,,
85F55102-D780-40C1-9FAF-26D6D5A99DB0,LC,Nicht gefährdet,,,,
4F3FE2D3-448E-4714-A259-F93D080DEF99,NT,Potenziell gefährdet,,,,
9C07A0B0-910A-419C-B5C6-65798F32C186,LC,Nicht gefährdet,,,,
CD8FB2BA-9EA1-4CA8-8FA0-7CB479678E8F,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",Nur in den Südalpen,Uniquement au sud des Alpes,Unicamente sul versante meridionale delle Alpi
32565353-B891-42A0-9C73-EB39C9F3F19D,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
E8DD6E9E-A11F-463A-BB48-567C098FD6AE,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
122D6398-5673-430E-8496-65CE657DC309,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
58B5EAD2-FF96-47DC-B7B9-8E9F9D8B615A,VU,Verletzlich,"B2ab (i,ii,iii,iv)",Zurzeit nur noch im Wallis,Actuellement plus qu'en Valais,Attualmente solo nel Vallese
1A9AB1E2-92FC-4F07-A01A-D7DE99973BED,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
1B48D97B-D7F3-48BF-B122-B8BFCE51699E,LC,Nicht gefährdet,,,,
69E1E614-4BD7-43DF-A9AF-2F065558FE38,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)c (iii,iv)",Aktuell nur im Wallis und im Puschlav GR,"Actuellement, uniquement en Valais et au Val Poschiavo GR",Attualmente solo nel Vallese e in Val Poschiavo (GR)
8C57476B-B3CC-45C3-8411-98FB4E2C4299,NT,Potenziell gefährdet,,,,
CAF89C5C-17AB-4C1B-B5D2-6E06E124B857,LC,Nicht gefährdet,,,,
4E7C53C5-2025-4F13-A3CE-5C4839C2113C,CR,Vom Aussterben bedroht,"B2ab (ii,iii,iv); C2a (i,ii); D","Nur im Puschlav GR und Münstertal GR, letzte Erwähnung 1946","Uniquement au Val Poschiavo GR et au Val Müstair GR, dernière mention suisse en 1946","Unicamente in Val Poschiavo (GR) e in Val Monastero (GR), ultima segnalazione in Svizzera nel 1946"
C726C015-FFC0-4BA7-A7BB-7FED7F699D20,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
400F917C-E9C6-49C3-96CF-1F3C97AB8C60,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
649899DF-A040-40B4-A548-379CDD5307FA,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",Nur im Wallis und Münstertal GR,Uniquement en Valais et au Val Müstair GR,Unicamente nel Vallese e in Val Monastero (GR)
4C35E014-42E6-4D01-859C-D403F4A0283B,NA,Regional nicht anwendbar,,,,
492532BF-CB52-46C5-980A-005730BA2349,LC,Nicht gefährdet,,,,
A370EFD1-F2ED-4059-B04D-1B09EE6BAD9A,LC,Nicht gefährdet,,,,
55FA365E-B7B5-44FE-8D8C-48B9790EDF65,LC,Nicht gefährdet,,,,
9B657E91-8795-47B4-8E88-D4C032FF905D,LC,Nicht gefährdet,,,,
F633F12A-AF41-4138-BFBE-C97081DDF80F,NA,Regional nicht anwendbar,,,,
2745C9EF-AA23-403F-86D3-5EC3A24AF9EB,NT,Potenziell gefährdet,,Nur in den Südalpen,Uniquement au sud des Alpes,Unicamente sud sul versante meridionale delle Alpi
E901FBC3-2B61-4CBA-A2F4-B9F4BCC084EB,LC,Nicht gefährdet,,,,
1F4ED241-0A76-4275-AEB3-AD5AD09CCE32,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
BB8C0C61-5281-41A1-B6CE-F6DD41C7257C,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
9FFE1F0B-7727-49BB-BEF0-085E41E2ABAD,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
5A426B93-0813-47D0-9D00-FFDE44CB6267,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
A4D0D903-BAC3-4341-9362-0B8D4A8C4A93,VU,Verletzlich,"B2ab (i,ii,iii,iv)c (iii,iv)",Nachgewiesene Populationen nur in der Ajoie JU und westliches Genferseebecken,Présence de populations prouvée uniquement en Ajoie JU et dans l'ouest lémanique,Presenza di popolazioni dimostrata unicamente nell'Ajoie (JU) e nella regione ginevrina
E357F01B-05B5-4260-9818-AED5BB3E3896,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
97AFE0D8-8A29-4032-9E7E-062708BBD4BD,LC,Nicht gefährdet,,,,
F90BB7BA-F148-4078-9F5F-4F7D185542FE,LC,Nicht gefährdet,,,,
F52A0A95-6AAC-490C-A9C9-630F38BF9FA1,LC,Nicht gefährdet,,,,
4B59D373-4513-4707-A82E-22D7407FE8B8,NT,Potenziell gefährdet,,,,
05E77E19-BB8D-4375-84C8-17D4BA194485,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",Zurzeit nur noch im Nordosten der Schweiz ,Actuellement uniquement dans le nord-est de la Suisse,Attualmente presente solo nel nord-est della Svizzera
428C2F45-7B9E-400A-91B6-E63DCBCC6708,NT,Potenziell gefährdet,,,,
19E60F96-BDF4-4F6F-A5C3-C736B49D4051,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
4E42847D-A103-4C2F-B633-330F04F58547,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
9BB2F3B8-4171-4B37-A639-F0F6D1BBB680,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
FD6AB2E5-E6BB-41A2-AC61-9A4B34D98C26,LC,Nicht gefährdet,,,,
18A2834E-F2B7-4C1B-A5B0-6BA25808D9FD,LC,Nicht gefährdet,,,,
4D580CFF-CF69-4A77-8AA4-D334EA3D0A39,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",Nur in Graubünden,Uniquement dans les Grisons,Unicamente nei Grigioni
C15A7E5C-EACC-42E7-87BA-0010E9591D95,LC,Nicht gefährdet,,,,
B278BA64-8FBA-45E9-AAB7-52D9199F7B38,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",Zurzeit nur noch im Wallis und in Graubünden ,Actuellement plus qu’en Valais et dans les Grisons,Attualmente presente ormai solo nel Vallese e nei Grigioni
17D82F67-191D-4927-9492-FF7EFC5F9697,CR,Vom Aussterben bedroht,"B2ab (ii,iii,iv); C2a (i,ii)",Nur im Kanton Schaffhausen,Uniquement dans le canton de Schaffhouse,Unicamente nel Canton Sciaffusa
460E098E-93B2-4DED-AF19-CD565D3A84AA,VU,Verletzlich,"B2ab (i,ii,iii,iv)c (iii,iv)",,,
3490D79D-2503-4C56-A76F-1D58B755FE56,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",Nur im Wallis,Uniquement en Valais,Unicamente nel Vallese
4915ACD5-E6E7-412C-918A-AA9466E3109F,NT,Potenziell gefährdet,,,,
55AC88C7-48BA-4EC9-8FC9-FC2BB285F1C9,VU,Verletzlich,"B2ab (i,ii,iii,iv)c (iii,iv)",,,
0978B2D9-4373-4EBF-9209-5A031134792A,VU,Verletzlich,"B2ab (i,ii,iii,iv)c (iii,iv)",,,
0F89FBFB-F3AB-44FA-A193-771CFCFBBEB9,NT,Potenziell gefährdet,"B2ab (i,ii,iii,iv)c (iii,iv)",,,
2059E255-58E4-44BF-BA15-6199BCDD6E32,NT,Potenziell gefährdet,,Nur im Wallis und in Graubünden,Uniquement en Valais et dans les Grisons,Unicamente nel Vallese e nei Grigioni
94A9493E-D58E-47B0-998F-78770390825C,NT,Potenziell gefährdet,,,,
AC5632E9-9E21-406F-9B82-14EB511EA37A,LC,Nicht gefährdet,,,,
AD97AE6F-07FD-4EB3-957C-2CB3198CE1EF,NT,Potenziell gefährdet,,Nur in den Südalpen,Uniquement au sud des Alpes,Unicamente sul versante meridionale delle Alpi
12DFA1FE-59FE-45D8-8736-66C43ACF0FDC,VU,Verletzlich,"B2ab (i,ii,iii,iv)c (i,ii,iii,iv)",,,
6955DF52-2E62-4440-8D84-D25D1E8B551B,LC,Nicht gefährdet,,,,
3CC27ABF-8D4D-42C8-8012-93B14D7E651D,LC,Nicht gefährdet,,,,
C57A2532-C63C-4C32-A2E1-C2CA02C33513,LC,Nicht gefährdet,,,,
672CC142-AB59-4A4B-8DDC-52A6C20FC9B5,LC,Nicht gefährdet,,,,
F1F2F4DD-BF22-4889-81F7-79D8CD07DA54,LC,Nicht gefährdet,,,,
F82F9226-F654-4C5E-B9D5-C07BEFA0DA4A,NT,Potenziell gefährdet,,,,
C70CDEEC-B8BD-479D-9DC1-D93C257587A4,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
30C3B02C-0FA5-43CE-BB71-FD3544EC2FBB,LC,Nicht gefährdet,,,,
C5BD8FA5-A56D-4B01-90CE-2A8EDB3B1990,LC,Nicht gefährdet,,,,
34EBBA8B-74F6-4201-B645-776D8E097019,LC,Nicht gefährdet,,,,
94E449E2-878C-446F-9D52-635897A2B3ED,NT,Potenziell gefährdet,,In Ausbreitung,En expansion,In espansione
7ABEA459-D429-47AE-A346-1E7954E4537F,LC,Nicht gefährdet,,,,
02BE6DF4-6373-432F-B5FA-55ECEA9DB259,LC,Nicht gefährdet,,,,
B4292CFB-7C50-4A2F-BE25-B95B275EFF58,NT,Potenziell gefährdet,,,,
961D209C-E7C5-48C5-9150-2DA4B2CF380E,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)","Nur im westlichen Genferseebecken, Region Basel sowie im Südtessin ","Uniquement dans l'ouest lémanique, la région bâloise et au sud du Tessin","Unicamente nella regione ginevrina, nella regione basilese e nel Ticino meridionale"
91881910-A1E7-445B-B863-1EE8EF8B855A,LC,Nicht gefährdet,,,,
96D54C1D-F4D6-4649-A44C-97FFA60941FB,NT,Potenziell gefährdet,,,,
D2390E4A-DED0-4B03-80AA-52E204E1FF06,LC,Nicht gefährdet,,,,
1C9F533C-476D-47B3-9F14-8985706091ED,LC,Nicht gefährdet,,,,
1298312D-C480-4569-9233-3C743CEF9503,VU,Verletzlich,"B2ab (i,ii,iii,iv)",Nur im Wallis,Uniquement en Valais,Unicamente nel Vallese
2A1C9714-F7CA-455C-9A74-5FB6EF63E922,LC,Nicht gefährdet,,,,
9EB35EEB-D148-45EF-9438-916BF774B250,VU,Verletzlich,"B2ab (i,ii,iii,iv)",Nur im Wallis und in Graubünden,Uniquement en Valais et dans les Grisons,Unicamente nel Vallese e nei Grigioni
118FA495-09AE-49FC-9F44-5BEB152137CF,LC,Nicht gefährdet,,,,
CC37B6B7-E66D-418A-9C3C-CAD2DA381197,LC,Nicht gefährdet,,,,
89E448B5-614C-4867-AC96-FFF6CFF1DCE9,VU,Verletzlich,"B2ab (i,ii,iii,iv)c (iii,iv)",,,
9E1A9FA7-83F6-42FF-8E25-7DFBF9FF0379,VU,Verletzlich,"B2ab (i,ii,iii,iv)",Nur im Wallis und in Graubünden,Uniquement en Valais et dans les Grisons,Unicamente nel Vallese e nei Grigioni
6B27011C-5482-4D23-BCDE-44B3335E51A9,NT,Potenziell gefährdet,,,,
923CD643-BC65-46AC-B19D-B5EDBC5F9C57,LC,Nicht gefährdet,,,,
77D0C557-8D90-499A-AE37-86A798043BAB,VU,Verletzlich,"B2ab (i,ii,iii,iv)",Nur im Wallis und in Graubünden,Uniquement en Valais et dans les Grisons,Unicamente nel Vallese e nei Grigioni
78EC25A0-6485-40F2-A8FB-981073524190,LC,Nicht gefährdet,,,,
36DEEC21-4199-4F8E-9CC0-92392440A7BA,LC,Nicht gefährdet,,,,
7458B7C8-9C3A-44B9-ADB3-D977C89BB12A,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
92575B7B-F9E1-460A-A51D-60EE9C9F2226,NT,Potenziell gefährdet,,,,
42320F66-23CC-4A57-8C02-8A307EEB3092,NT,Potenziell gefährdet,,Nur im Wallis,Uniquement en Valais,Unicamente nel Vallese
6B4F2046-0618-4D22-B103-C04941142663,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
0E7DEF79-B809-48D4-800E-BD1149553BB0,VU,Verletzlich,"B2ab (i,ii,iii,iv)",Nur im Jurabogen,Uniquement dans l’Arc jurassien,Unicamente nell'arco giurassiano
729F2E4A-AC52-43B4-986C-ED9CE8819A79,LC,Nicht gefährdet,,,,
176C0BD8-3877-414D-89C9-CCA105785F14,LC,Nicht gefährdet,,,,
B028B9B4-2C80-4697-A461-65FEC3A8BD8C,NT,Potenziell gefährdet,,,,
BFBC162A-4FEF-49A1-96FD-852820EE0196,LC,Nicht gefährdet,,,,
0E73DA39-E616-40B6-9AAF-9BB56AE86A06,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
CAB414B7-C9F0-4E8A-9C0D-DEAA7506E94C,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
AF5362DA-8D84-44B1-B383-51202184DB73,CR,Vom Aussterben bedroht,"B2ab (ii,iii,iv); C2a (i,ii)",Letzter Nachweis in der Schweiz 2006,Dernière mention suisse en 2006,Ultima segnalazione in Svizzera nel 2006
A987A17D-5D32-48C5-8D45-EAB58E77E146,LC,Nicht gefährdet,,,,
C73CAAC8-685F-4FE5-BEF8-9427FF2802A4,LC,Nicht gefährdet,,,,
3A650F78-DC75-47E7-A327-255A623A4F11,CR,Vom Aussterben bedroht,B2ab (iii); C2a (ii),Nur noch eine Reliktpopulation im Wallis,Plus qu'une population relictuelle en Valais,Una popolazione relitta nel Vallese
2DBD0891-CC48-49B4-BCB0-0D05E0528A7D,LC,Nicht gefährdet,,,,
34AC82B6-3046-4ADE-B2C4-FE3A1DDEFF04,NT,Potenziell gefährdet,,,,
D8D1EAFD-B029-43A7-9D36-C89C0A956E28,NA,Regional nicht anwendbar,,,,
2AF96C05-AABA-4D04-A7D6-9D0558AE0D57,LC,Nicht gefährdet,,,,
694F48B1-A390-4E89-A7CC-6FFFE0F32822,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
26A43F3D-4972-47BA-B425-018057346B24,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
63930F9D-5036-42C2-86F5-C95402C3750A,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
1CD61D20-64A5-4870-813F-22F657D29759,VU,Verletzlich,"B2ab (i,ii,iii,iv)c (iii)",,,
06FB0E21-31DF-4D56-83C0-7536DDA02D14,NT,Potenziell gefährdet,,,,
DA705268-39BB-4ED7-A1BD-1B55380C648B,LC,Nicht gefährdet,,,,
3104752F-EB96-4D58-80F4-CF7D3CB0C37D,NT,Potenziell gefährdet,,,,
FE1C4FC7-58C2-4CEE-98D4-D11D4C733186,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
6FD2611F-45AA-4974-9EFA-247B7DFA01C8,NT,Potenziell gefährdet,,,,
AA18803D-6645-45E6-B4C8-8774AA5E53E9,LC,Nicht gefährdet,,,,
2BB77652-E400-4CD6-A7BE-A88EFEC26141,EN,Stark gefährdet,"B2ab (i,ii,iii,iv)",,,
D2BC2A0D-2070-463E-BD83-FAC3B20B211D,LC,Nicht gefährdet,,,,
80D35346-CC81-4D52-93C3-BD6915B7EA69,LC,Nicht gefährdet,,,,
CBBE234B-726F-4468-B9FD-C40A46F4A302,LC,Nicht gefährdet,,,,
2F4B4E82-509C-434A-9A6A-9AC16B0F7922,LC,Nicht gefährdet,,,,
357FFF21-3BFE-43CD-8A69-9C6C102CFFA8,NA,Regional nicht anwendbar,,,,
2A99E1A7-C239-4D31-B0AE-E3D370A92549,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
2647EE04-6858-4951-9EAF-89982C59BED6,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
9E7B3141-8F46-4190-81D7-EC41CF90BB58,LC,Nicht gefährdet,,,,
6855C638-39E2-4886-8FB9-FDA996597BAC,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
63D04C36-AC4D-4ABF-8812-61BCED95480B,LC,Nicht gefährdet,,,,
8B114D2F-6FBC-4EA6-8AFA-4454031ED126,LC,Nicht gefährdet,,,,
3A44FC82-2E57-4792-9912-39B8FAF2EBA4,LC,Nicht gefährdet,,,,
A18F8B6B-D0C1-4E0B-A673-38A28A83A6E3,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
B53110D4-0243-4BF4-9FBB-05BE713792B4,VU,Verletzlich,"B2ab (i,ii,iii,iv)",,,
6DA283E0-0A7D-4114-A107-0953BD05AEFE,NT,Potenziell gefährdet,,,,
