guid ausgelesen,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni
1DA9C91A-A002-4370-B597-4A904418DC80,NT,Potenziell gefährdet,(D1) cd,auf künstliche Nisthilfen angewiesen.,Dépend de sites de nidification artificiels,Dipende da siti di nidificazione artificiali
C0D735CC-830C-47C7-A5F9-2C9E0AE887AD,RE,In der Schweiz ausgestorben,,Letzter Brutnachweis: 1919,Dernière preuve de nidification: 1919,Ultima prova di nidificazione nel 1919
D486183A-0D57-458E-89A6-464DF91B7903,CR,Vom Aussterben bedroht,A2a,,,
5AE0471D-3239-425A-B9CB-948E9BDBF340,LC,Nicht gefährdet,,,,
2FBF8AC2-A947-465C-B8E6-D415F96ED9EA,CR,Vom Aussterben bedroht,D,,,
06B8491B-F53F-4F7E-AD44-53168D895ACD,VU,Verletzlich,D1,,,
D0B37994-5210-4392-9DDF-984FA1933C0A,EN,Stark gefährdet,D,,,
F4851C5A-107A-41BE-B932-699AE158F27C,EN,Stark gefährdet,D*,,,
F7DEA384-A8E8-4F2D-8CC2-783EF8A10622,LC,Nicht gefährdet,,,,
224455FC-F933-4FD4-9CFF-78231A72066E,LC,Nicht gefährdet,,,,
77243DF3-C0C3-4B7F-9286-18FD28691601,LC,Nicht gefährdet,,,,
019D5F8C-353A-401B-BE54-9D03DFD73895,NT,Potenziell gefährdet,(C1),,,
C40438EF-2A06-4EB9-B211-2E76F87ABC54,VU,Verletzlich,D1,,,
2FFB8870-6597-438A-9266-15A3DCF22728,EN,Stark gefährdet,D*,,,
36717930-D83F-4456-ADA2-0C1BFAA48C14,VU,Verletzlich,D1,,,
91E0EEEB-6A3A-45C4-8931-82B257066A82,NT,Potenziell gefährdet,(A2a),,,
EB943877-3D0E-46D9-A7AC-310BE2375157,LC,Nicht gefährdet,,,,
9C393B74-0D34-4DAE-AB14-115E29493A55,LC,Nicht gefährdet,,,,
C77BED0C-BFB3-422A-BE58-808B13A1FBB2,VU,Verletzlich,D1,,,
4B7D3940-0C71-45B2-A04A-AC88B5253EBF,LC,Nicht gefährdet,,,,
592D1982-06F6-47B0-8AD1-D0ADEDFD1B5D,VU,Verletzlich,D**,,,
1A0CDE6D-CAAA-48AC-9261-3F05608093D6,VU,Verletzlich,D**,,,
F8F2748B-BBF9-40A2-BDF0-CE66CC27E0C4,NT,Potenziell gefährdet,D1*,,,
E2D3A9F7-8022-4333-817C-6D01858604C7,NT,Potenziell gefährdet,D1*,,,
E363CAF6-3A41-49E8-B231-E52A35BD8E65,NT,Potenziell gefährdet,cd,,,
E4FC2184-C8E0-4295-8A33-0233EE89A8E6,CR,Vom Aussterben bedroht,D,Wiedereinbürgerungsprogramm mit guten Prognosen,Programme de réintroduction avec bon pronostic,Programma di reintroduzione con previsioni positive
628BB40A-4706-450C-B2FD-A14E897926D2,LC,Nicht gefährdet,,,,
A27572EA-F5C6-4F34-90F4-1AC2564FB1F8,LC,Nicht gefährdet,,,,
3736D492-A961-486A-9551-FF6048B989EB,RE,In der Schweiz ausgestorben,,Letzter Brutnachweis: 1911,Dernière preuve de nidification: 1911,Ultima prova di nidificazione nel 1911
70BBD62C-CFDD-4CCC-8696-1AF3D4A8A0CF,NT,Potenziell gefährdet,D1*,,,
6EFA52F9-8289-463C-8257-18CFA7110388,NT,Potenziell gefährdet,"(B1b(iv), C2b)",,,
A1996797-1119-4426-AAD1-B88D408955A6,RE,In der Schweiz ausgestorben,,Letzter Brutnachweis: vor 1900,Dernière preuve de nidification: avant 1900,Ultima prova di nidificazione prima del 1900
2A73F50A-F022-485C-8B6C-5FD097739B6F,NT,Potenziell gefährdet,(C1),,,
06A18108-B3FB-4225-BBFD-79CAA1564341,LC,Nicht gefährdet,,,,
3CC145D1-98D2-4CD3-B080-4617E8EA86BA,NT,Potenziell gefährdet,"(A2ac, B1ab)",,,
A86822AC-E810-4711-8B93-4C9BE824F887,CR,Vom Aussterben bedroht,"A2ac, B1ab, C2a(ii), D",,,
D5E0E494-788A-4444-9298-433606846128,NT,Potenziell gefährdet,(B1),, ,
B01EA744-C880-4F33-8FC6-83628E10A570,EN,Stark gefährdet,C1,, ,
F59DA94B-FF9F-429E-9BAE-02334C2C98AF,CR,Vom Aussterben bedroht,D,,,
7D0DC810-4900-4254-9B60-6ED7590C4D85,LC,Nicht gefährdet,,,,
64FE48AA-9CD7-40BA-8361-01C27E65242D,LC,Nicht gefährdet,,,,
CB77D6FA-40BC-4913-A97F-E5FF4EA1D70D,VU,Verletzlich,D**,,,
81DBDFA6-663A-4B96-BEEB-515633BAE214,VU,Verletzlich,D**,,,
BCB9DF5F-112A-4EE3-838D-E869C34EE18D,EN,Stark gefährdet,D*,,,
3C743FBD-F506-47C5-8A0D-B41EA2F4715D,LC,Nicht gefährdet,,,,
8DD1C02E-B087-4934-B14C-C9F0ADB512ED,NT,Potenziell gefährdet,D1*,,,
8CF9FA40-823E-4DCD-A219-B7D08285FE16,VU,Verletzlich,D**,,,
0BADD8FA-24AB-40EF-8900-B7CDE4367E3E,LC,Nicht gefährdet,,,,
06927591-9637-4CEE-A3C6-FB60E4DC5FAF,LC,Nicht gefährdet,,,,
8ED1A0F6-946B-4C45-8C33-FCA8B1F1DD76,LC,Nicht gefährdet,,,,
0322372C-DBF1-4266-9173-EFEB3DF1524C,NT,Potenziell gefährdet,(A2a),,,
7DACE6F3-3E34-4B1E-A496-1EC554DEC218,EN,Stark gefährdet,D*,"letzter Brutnachweis 2001, seither vereinzelte Sänger","Dernière preuve de nidification en 2001; depuis, chanteurs
isolés","Ultima prova di nidificazione nel 2001, da allora solo singoli individui in canto"
7C0E2AFF-9580-4A76-89F9-958160F9A8FC,VU,Verletzlich,"C1, D1",,,
3B386772-75CE-446A-9D0A-BA4B5219E906,LC,Nicht gefährdet,,,,
7B76A254-FCFF-4DE5-B2D5-1B86252E6441,LC,Nicht gefährdet,,,,
E953DEA2-05C0-4986-B3F6-150613EB826D,LC,Nicht gefährdet,,,,
96082648-0B8D-4C75-AD4E-EC3D33C1C9F7,NT,Potenziell gefährdet,°,,,
E9057A9E-182E-493F-9EF7-40C0784A7C71,LC,Nicht gefährdet,,,,
B05195AD-7CE9-4213-81F7-32217501385C,LC,Nicht gefährdet,,,,
127D78CE-949A-4581-95B7-FA3677552524,LC,Nicht gefährdet,,,,
D6C8BA31-663C-4AC2-A766-28A3354F8D90,VU,Verletzlich,D**,,,
D7078D09-B662-4F8E-9F41-1F6B47C91C7B,LC,Nicht gefährdet,,,,
F63337DA-1A77-4BC8-BDAE-5C3255067A52,LC,Nicht gefährdet,,,,
CDDC55D6-6D98-4A72-8D8E-F00C28B7BFC1,VU,Verletzlich,D**,,,
051C0F0A-6B24-47CE-A47D-E039A2578090,LC,Nicht gefährdet,,,,
A987C1CD-BE7C-4801-B461-C8A8DF02836D,LC,Nicht gefährdet,,,,
5134EBB9-59BC-401C-ABFD-E84024616CD6,LC,Nicht gefährdet,,,,
9C84D038-5BC4-4327-8389-FE6423E14600,LC,Nicht gefährdet,,,,
56FE69FC-0B13-4F76-9038-32205805A072,LC,Nicht gefährdet,,,,
D86ED8FD-06FC-439C-8E47-77B3052BB7EF,VU,Verletzlich,C1,,,
D383D3E7-A20D-4D7D-84DA-708CF5A86019,NT,Potenziell gefährdet,cd,,,
50ED776F-379C-4394-AF17-862045657988,VU,Verletzlich,C1 D1,,,
51FD21F8-BBA1-4D4C-87B5-8174D6ADDDEC,LC,Nicht gefährdet,,,,
C8562030-2DF1-4AA2-905A-0CD28FA3F639,NT,Potenziell gefährdet,B2ac(iv)*,,,
0FA6D377-ACDA-445B-9C72-38195F2DA6F0,LC,Nicht gefährdet,,,,
35AB73FC-ACB8-486F-9AEA-76708250FD14,CR,Vom Aussterben bedroht,"B1ab, C1, D",,,
28FF553F-10F1-475B-B1AB-FC2B862D6031,VU,Verletzlich,C1,,,
CEC07A9C-EEB4-46DE-BB6A-E9CD84314AD3,LC,Nicht gefährdet,,,,
0C65BF3C-FAAA-4F43-B1C3-2B6B0560367A,EN,Stark gefährdet,D*,,,
FEFCBF52-1E4E-46B9-8BA0-D7E5AEF606E0,LC,Nicht gefährdet,,,,
782B8B87-FAB7-4957-93AE-81FDA17D6C2D,LC,Nicht gefährdet,,,,
D56C294B-CCD8-4056-9A2C-F0F0ED380047,RE,In der Schweiz ausgestorben,,Letzter Brutnachweis 1976,Dernière preuve de nidification 1976,Ultima prova di nidificazione nel 1976
898840B8-7ACF-4D3F-A14E-A46CF09DE106,LC,Nicht gefährdet,,,,
EFA392D2-B64B-4780-9076-C35E5E478C11,VU,Verletzlich,"A2c, B2ab(i), C1, D1",,,
849508EC-46A6-45CF-B3B0-97217D4A251C,NT,Potenziell gefährdet,D1*,,,
B370C208-A17D-40A6-B664-5EEC2E2570B4,LC,Nicht gefährdet,,,,
AE6CB627-6951-48BD-897B-13C982874D18,LC,Nicht gefährdet,,,,
AFC21884-A4E8-47D1-8739-D878C0D57509,RE,In der Schweiz ausgestorben, ,Letzter Brutnachweis: 1986,Dernière preuve de nidification: 1986,Ultima prova di nidificazione nel 1986
142473ED-A947-40D2-8790-02A5D66B7D10,RE,In der Schweiz ausgestorben, ,Letzter Brutnachweis: 1972,Dernière preuve de nidification: 1972,Ultima prova di nidificazione nel 1972
4D7BE86C-C4B7-4C60-AEFA-C5FAAF91C456,CR,Vom Aussterben bedroht,"B1ab, B2ab, C2a(i), D",, ,
FF0AB2DB-78DB-4445-9C6D-24AA57D96B38,NT,Potenziell gefährdet,D1*,,,
FA1360D3-25E8-4E31-B413-17BFE24D57B0,NT,Potenziell gefährdet,D1*,,,
945FC8BA-C2FA-456C-AA21-270CB305AF94,LC,Nicht gefährdet,,,,
4BF2D617-DFA4-4A6B-A5C7-0960408AAD42,VU,Verletzlich,D1,,,
1AFC9E80-CC6F-4B04-9FCD-8BCC3D11EEFF,NT,Potenziell gefährdet,(C1a),"starker Rückgang im Wallis, schlecht dokumentiert","Déclin important en Valais, mal documenté","Forte diminuzione in Vallese, scarsamente documentata"
90F68206-9858-4510-A301-61D6E3B4223C,VU,Verletzlich,D**,,,
D8C4D0A7-7BFF-46D1-8FB3-2084B2ACBA24,LC,Nicht gefährdet,,,,
176949E1-02C9-402B-863C-BE9F5F7EF986,EN,Stark gefährdet,D,,,
18BECE4B-7571-40E9-B8CB-78B53298029C,LC,Nicht gefährdet,,,,
0902699B-428D-4DBB-8C0F-0690EB6F29A8,LC,Nicht gefährdet,,,,
CECE7D5B-33AF-44D8-BB88-5A5F9CCE2DF1,LC,Nicht gefährdet,,,,
1EC81BF2-D1A1-4586-BE1E-9D732AB1B77C,NT,Potenziell gefährdet,D1,,,
14E2DED6-2D91-4499-B377-BEA99ADF1432,LC,Nicht gefährdet,,,,
8956A8B1-984B-447E-8CED-5BA27803F893,LC,Nicht gefährdet,,,,
F0493E61-C633-4CD3-B789-4BB79010C605,LC,Nicht gefährdet,,,,
D16E7D0C-B812-4B81-90C2-B862970A1524,LC,Nicht gefährdet,,,,
C232FECD-37FB-4EA6-BB43-D762C1F378D0,VU,Verletzlich,D*,,,
9DC202B2-26C0-4B4D-860A-83EE7FCAC410,LC,Nicht gefährdet,,,,
DA72CD1D-FFF5-456C-9EFF-9B57BFC29FB2,LC,Nicht gefährdet,,,,
D3F31D93-B595-41D8-ACDD-221D0427D5D8,LC,Nicht gefährdet,,,,
884C2096-9888-4A8F-9450-689037A65E5D,LC,Nicht gefährdet,,,,
1B9B4FBB-F987-442F-BC96-44445F75FF11,LC,Nicht gefährdet,,,,
B5A58C2A-0560-493A-8CA8-1B97B34BDD88,LC,Nicht gefährdet,,,,
7062B98D-BD33-4434-AC69-3D3F2D5A24BD,LC,Nicht gefährdet,,,,
1D8D0837-0C76-4FDA-807F-964D93A39ECF,LC,Nicht gefährdet,,,,
06BF2A7E-4737-410F-8BEF-B03E4E29522F,LC,Nicht gefährdet,,,,
B1D97745-6F1A-4F16-A68E-344D771473EE,LC,Nicht gefährdet,,,,
D9E3F305-E719-4CC7-94C2-E8E844D8FA48,NT,Potenziell gefährdet,° (cd),,,
2618E518-4173-442C-9FCA-D3584E87043C,LC,Nicht gefährdet,,,,
4F771631-9A43-4F89-8288-C12E3B2D2E6A,LC,Nicht gefährdet,,,,
26CB993C-E955-42FF-9532-98B6B6A48288,VU,Verletzlich,A2a,,,
BF7B66D5-1991-463D-B580-90756BF6FA57,VU,Verletzlich,"A2a, C1",,,
17323FB7-D2CA-41A8-B3F6-542F00AAACE3,LC,Nicht gefährdet,,,,
F2FBBBC0-EF2A-4B43-8263-048D6D96DCCA,LC,Nicht gefährdet,,,,
D051EBE8-A8D3-421D-980F-62B89C8C88EB,LC,Nicht gefährdet,,,,
DAB24194-8CD6-47F2-95A6-F63EE2964DC8,LC,Nicht gefährdet,,,,
E3F8A659-CF65-4DFE-947F-0BB1C3404DA3,LC,Nicht gefährdet,,,,
90EFA888-CAF7-4584-9161-C288107AB43B,EN,Stark gefährdet,D,,,
C3772218-5360-48B4-A3DD-3A1250414898,LC,Nicht gefährdet,,,,
D2D7FB7C-3A11-412F-8D16-57A19A25B4AD,LC,Nicht gefährdet,,,,
081B65F3-8C73-40B5-8633-7BC83D244EC3,LC,Nicht gefährdet,,,,
D9ACC92D-9978-4490-BDFE-886294D28396,VU,Verletzlich,D**,letzter Brutnachweis 1999,Dernière preuve de nidification: 1999,Ultima prova di nidificazione nel 1999
E7E7B2EC-074B-41D9-A2AE-198E4BE56474,VU,Verletzlich,C1,,,
0D0CD510-0CBF-4EFE-8A4F-C26A06D7BAF0,VU,Verletzlich,A2a,,,
A2B04CAE-D329-4D90-B33C-445A964761FA,NT,Potenziell gefährdet,(D1) cd,,,
33BFEC99-D68E-47F9-B4FE-C2D63512789C,LC,Nicht gefährdet,,,,
7EBFDC50-4FBB-4CFE-B218-680DEBC1DF2F,LC,Nicht gefährdet,,,,
1AB51BF3-AA65-40C4-B4E6-139B633DCE56,LC,Nicht gefährdet,,,,
1644430F-740D-432F-8202-12ABA74EE25F,LC,Nicht gefährdet,,,,
96F551C3-7439-45E9-921C-3EB6DFAD9D5D,LC,Nicht gefährdet,,,,
9DE028A1-4724-4CD1-AC7E-E4AA83945BE8,NT,Potenziell gefährdet,(A2a),,,
70166DE8-B14B-47A2-BC87-1EFF224B9A91,NT,Potenziell gefährdet, ,,,
8D9353D4-3050-4E0B-8EAB-1013C1B0494D,LC,Nicht gefährdet,,,,
74FAC3C3-AB70-4435-A0E2-0E38482E8BBF,RE,In der Schweiz ausgestorben, ,"letzter Brutnachweis: 1989, 1990 eine mögliche Brut","Dernière preuve de nidification en 1989, une nidification
possible en 1990","Ultima prova di nidificazione nel 1989, nel 1990 una possibile nidificazione"
209FD1CC-5FF2-46B3-A576-76E7D7CCAB4A,VU,Verletzlich,D**,, ,
068FAB81-D058-45E1-BEAF-74F66B9D2DFB,LC,Nicht gefährdet,,,,
CAAE3941-C0D9-4571-AF3C-416D1E868462,LC,Nicht gefährdet,,,,
F92793D8-E019-42BF-B015-63808335AF7F,LC,Nicht gefährdet,,,,
1FAF0407-D49F-484F-A428-37E48C1DF2AF,LC,Nicht gefährdet,,,,
8F3B8CE7-A389-431C-BF61-CBBFB24F0CA6,VU,Verletzlich,A2a,,,
BB686C46-E28A-4CE8-AE51-9B0E3D9F33F5,VU,Verletzlich,A2a,,,
D637A744-E50D-483B-B451-5DFDD4FB4332,LC,Nicht gefährdet,,,,
9EA7C25D-0C03-4879-A4BA-95B290213EBF,LC,Nicht gefährdet,"(D1, D2)*",,,
55D42330-A059-45E0-945B-E8C67701FBDC,VU,Verletzlich,D**,,,
7480CEB9-23B9-4480-A335-FA623518BACC,LC,Nicht gefährdet,,,,
D7F841E6-16FD-48F0-AD08-675B7FC33CEB,NT,Potenziell gefährdet,B1ab(iii),,,
4DBEC26A-F977-41C9-AF40-3436904877D6,LC,Nicht gefährdet,,,,
DFCF45EB-88E8-47F7-94CC-50619BF449A2,LC,Nicht gefährdet,,,,
D5622756-B6CF-405F-AFE9-A3B2D8B30BBC,NT,Potenziell gefährdet,cd,,,
CA5EF3F5-DEB5-4C48-AE5A-734BEA5E374A,LC,Nicht gefährdet,,,,
86A409D9-5849-4489-A542-E425E28AA305,VU,Verletzlich,C1,,,
BE0E88DF-824A-42E3-9C26-A265918D8B1D,LC,Nicht gefährdet,,,,
16F39F01-8001-4536-BACB-56BDE56605A3,LC,Nicht gefährdet,,,,
1CEF2947-D85C-4F56-B75F-98B0CCCF9725,VU,Verletzlich,D**,,,
4A8A1AFB-4EDB-42FB-A700-D942E87F8B56,VU,Verletzlich,C1,,,
B29C9275-A5B4-42EE-95EB-BAD6E9C96D1E,LC,Nicht gefährdet,(C2b)*,,,
B26D660F-31ED-4667-8F20-E6158A3D41A5,NT,Potenziell gefährdet,C1*,,,
D7EDDD25-FE99-49C8-B322-FD5E589462CC,EN,Stark gefährdet,D,,,
AAA8CAB7-F589-45BA-ADC2-F0D9A067D4C4,EN,Stark gefährdet,D,,,
1DC6C070-17BE-4CA7-81CC-6F259A831603,LC,Nicht gefährdet,,"Neue Bestandsschätzung höher, aber keine wirkliche Veränderung","Nouvelle estimation des effectifs plus élevée, mais pas de
réelle modification",Nuova stima degli effettivi più elevata ma nessun cambiamento di rilievo
E96D8DEC-0E9A-4101-A2ED-04284C266D11,EN,Stark gefährdet,D*,,,
3C9827B0-7C21-4A90-BDC5-B16DD0A02B42,LC,Nicht gefährdet,,,,
B9482E51-3FB6-4406-A8BD-2C38DAD7A07E,NT,Potenziell gefährdet,cd,,,
